Indexcd,Trddt,Idxret
HSI,25/1/2019,0.016526
HSI,28/1/2019,0.000282
HSI,29/1/2019,-0.001642
HSI,30/1/2019,0.004038
HSI,31/1/2019,0.010839
HSI,1/2/2019,-0.00042
HSI,4/2/2019,0.002129
HSI,8/2/2019,-0.001568
HSI,11/2/2019,0.007068
HSI,12/2/2019,0.000977
HSI,13/2/2019,0.011581
HSI,14/2/2019,-0.0023
HSI,15/2/2019,-0.018683
HSI,18/2/2019,0.015991
HSI,19/2/2019,-0.004194
HSI,20/2/2019,0.010129
HSI,21/2/2019,0.004064
HSI,22/2/2019,0.00651
HSI,25/2/2019,0.004962
HSI,26/2/2019,-0.006466
HSI,27/2/2019,-0.000508
HSI,28/2/2019,-0.004321
HSI,1/3/2019,0.006251
HSI,4/3/2019,0.005117
HSI,5/3/2019,0.000069
HSI,6/3/2019,0.002624
HSI,7/3/2019,-0.00889
HSI,8/3/2019,-0.019147
HSI,11/3/2019,0.009738
HSI,12/3/2019,0.01465
HSI,13/3/2019,-0.003922
HSI,14/3/2019,0.001525
HSI,15/3/2019,0.005576
HSI,18/3/2019,0.013675
HSI,19/3/2019,0.001947
HSI,20/3/2019,-0.004931
HSI,21/3/2019,-0.008506
HSI,22/3/2019,0.001438
HSI,25/3/2019,-0.020266
HSI,26/3/2019,0.001527
HSI,27/3/2019,0.005648
HSI,28/3/2019,0.001635
HSI,29/3/2019,0.009597
HSI,1/4/2019,0.017578
HSI,2/4/2019,0.002119
HSI,3/4/2019,0.01221
HSI,4/4/2019,-0.00167
HSI,8/4/2019,0.004704
HSI,9/4/2019,0.002671
HSI,10/4/2019,-0.001258
HSI,11/4/2019,-0.0093
HSI,12/4/2019,0.002356
HSI,15/4/2019,-0.003311
HSI,16/4/2019,0.010706
HSI,17/4/2019,-0.000172
HSI,18/4/2019,-0.005358
HSI,23/4/2019,-0.000001
HSI,24/4/2019,-0.005253
HSI,25/4/2019,-0.00859
HSI,26/4/2019,0.001868
HSI,29/4/2019,0.009721
HSI,30/4/2019,-0.00648
HSI,2/5/2019,0.008252
HSI,3/5/2019,0.004588
HSI,6/5/2019,-0.028979
HSI,7/5/2019,0.005245
HSI,8/5/2019,-0.012254
HSI,9/5/2019,-0.023864
HSI,10/5/2019,0.008448
HSI,14/5/2019,-0.014999
HSI,15/5/2019,0.005216
HSI,16/5/2019,0.000225
HSI,17/5/2019,-0.011622
HSI,20/5/2019,-0.005684
HSI,21/5/2019,-0.004692
HSI,22/5/2019,0.001761
HSI,23/5/2019,-0.015838
HSI,24/5/2019,0.003183
HSI,27/5/2019,-0.002407
HSI,28/5/2019,0.003764
HSI,29/5/2019,-0.005662
HSI,30/5/2019,-0.004436
HSI,31/5/2019,-0.007885
HSI,3/6/2019,-0.000269
HSI,4/6/2019,-0.004921
HSI,5/6/2019,0.005004
HSI,6/6/2019,0.002597
HSI,10/6/2019,0.022746
HSI,11/6/2019,0.00764
HSI,12/6/2019,-0.017304
